Ticker,company,minusfiftyper,minustwentyfiveper,minusfifteenper,minustenper,minuseightper,minussixper,minusfourper,minustwoper,twoper,fourper,sixper,eightper,tenper,fifteenper,twentyfiveper,fiftyper,ticker_company
CL,"COLGATE-PALMOLIVE CO",0.00000001,0.0000001,0.000001,0.00001,0.01,0.02,0.08,0.17,0.19,0.02,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"CL,COLGATE-PALMOLIVE CO"
CLX,"CLOROX CO/DE",0.00000001,0.0000001,0.000001,0.01,0.01,0.02,0.04,0.23,0.23,0.04,0.02,0.001,0.0001,0.00001,0.000001,0.000001,"CLX,CLOROX CO/DE"
CMA,"COMERICA INC",0.00000001,0.0000001,0.000001,0.01,0.02,0.06,0.13,0.25,0.4,0.21,0.07,0.05,0.03,0.00001,0.000001,0.000001,"CMA,COMERICA INC"
CMCSA,"COMCAST CORP",0.01,0.01,0.01,0.01,0.02,0.04,0.12,0.21,0.25,0.1,0.03,0.01,0,0,0,0,"CMCSA,COMCAST CORP"
CME,"CME GROUP INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.02,0.06,0.19,0.31,0.11,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"CME,CME GROUP INC"
CMG,"CHIPOTLE MEXICAN GRILL INC",0.00000001,0.0000001,0.03,0.05,0.12,0.19,0.26,0.37,0.33,0.18,0.13,0.06,0.05,0.01,0.000001,0.000001,"CMG,CHIPOTLE MEXICAN GRILL INC"
CMI,"CUMMINS INC",0.00000001,0.0000001,0.000001,0.02,0.05,0.08,0.16,0.28,0.37,0.15,0.04,0.02,0.0001,0.00001,0.000001,0.000001,"CMI,CUMMINS INC"
CMS,"CMS ENERGY CORP",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.02,0.09,0.16,0.26,0.05,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"CMS,CMS ENERGY CORP"
CNC,"CENTENE CORP",0.00000001,0.0000001,0.01,0.03,0.03,0.05,0.1,0.22,0.37,0.2,0.07,0.02,0.0001,0.00001,0.000001,0.000001,"CNC,CENTENE CORP"
CNP,"CENTERPOINT ENERGY INC",0.00000001,0.0000001,0.000001,0.01,0.01,0.03,0.07,0.17,0.28,0.08,0.02,0.01,0.0001,0.00001,0.000001,0.000001,"CNP,CENTERPOINT ENERGY INC"
COF,"CAPITAL ONE FINANCIAL CORP",0.00000001,0.0000001,0.000001,0.02,0.03,0.06,0.12,0.25,0.33,0.13,0.08,0.02,0.01,0.00001,0.000001,0.000001,"COF,CAPITAL ONE FINANCIAL CORP"
COG,"CABOT OIL & GAS CORP",0.00000001,0.0000001,0.01,0.04,0.07,0.1,0.21,0.34,0.31,0.22,0.07,0.03,0.03,0.01,0.000001,0.000001,"COG,CABOT OIL & GAS CORP"
COL,"ROCKWELL COLLINS INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.02,0.04,0.2,0.25,0.1,0.03,0.01,0.0001,0.00001,0.000001,0.000001,"COL,ROCKWELL COLLINS INC"
COO,"COOPER COMPANIES INC",0.00000001,0.0000001,0.000001,0.00001,0.02,0.03,0.09,0.22,0.33,0.09,0.04,0.03,0.0001,0.00001,0.000001,0.000001,"COO,COOPER COMPANIES INC"
COP,CONOCOPHILLIPS,0.00000001,0.0000001,0.02,0.06,0.07,0.1,0.14,0.31,0.35,0.23,0.12,0.05,0.03,0.00001,0.000001,0.000001,"COP,CONOCOPHILLIPS"
COST,"COSTCO WHOLESALE CORP",0.00000001,0.0000001,0.000001,0.01,0.02,0.06,0.11,0.2,0.27,0.11,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"COST,COSTCO WHOLESALE CORP"
